country,date,feature,value
AE,2022-01-01,ActiveSubscription,175
AE,2022-01-01,NewSubscription,1
AE,2022-01-02,ActiveSubscription,176
AE,2022-01-02,NewSubscription,1
AE,2022-01-03,ActiveSubscription,178
AE,2022-01-04,ActiveSubscription,176
AE,2022-01-04,NewSubscription,2
AE,2022-01-05,ActiveSubscription,175
AE,2022-01-06,ActiveSubscription,177
AE,2022-01-06,NewSubscription,3
AE,2022-01-07,ActiveSubscription,176
AE,2022-01-08,ActiveSubscription,176
AE,2022-01-09,ActiveSubscription,175
AE,2022-01-09,NewSubscription,1
AE,2022-01-10,ActiveSubscription,174
AE,2022-01-10,NewSubscription,2
AE,2022-01-11,ActiveSubscription,172
AE,2022-01-11,NewSubscription,2
AE,2022-01-12,ActiveSubscription,170
AE,2022-01-12,NewSubscription,1
AE,2022-01-13,ActiveSubscription,171
AE,2022-01-13,NewSubscription,3
AE,2022-01-14,ActiveSubscription,169
AE,2022-01-15,ActiveSubscription,168
AE,2022-01-15,NewSubscription,1
AE,2022-01-16,ActiveSubscription,173
AE,2022-01-16,NewSubscription,3
AE,2022-01-17,ActiveSubscription,173
AE,2022-01-18,ActiveSubscription,174
AE,2022-01-19,ActiveSubscription,175
AE,2022-01-20,ActiveSubscription,174
AE,2022-01-20,NewSubscription,1
AE,2022-01-21,ActiveSubscription,173
AE,2022-01-21,NewSubscription,1
AE,2022-01-22,ActiveSubscription,172
AE,2022-01-22,NewSubscription,1
AE,2022-01-23,ActiveSubscription,166
AE,2022-01-23,NewSubscription,2
AE,2022-01-24,ActiveSubscription,163
AE,2022-01-25,ActiveSubscription,165
AE,2022-01-25,NewSubscription,2
AE,2022-01-26,ActiveSubscription,163
AE,2022-01-27,ActiveSubscription,162
AE,2022-01-28,ActiveSubscription,164
AE,2022-01-28,NewSubscription,1
AE,2022-01-29,ActiveSubscription,165
AE,2022-01-29,NewSubscription,1
AE,2022-01-30,ActiveSubscription,164
AE,2022-01-30,NewSubscription,2
AE,2022-01-31,ActiveSubscription,167
AE,2022-01-31,NewSubscription,5
AE,2022-02-01,ActiveSubscription,165
AE,2022-02-02,ActiveSubscription,165
AE,2022-02-03,ActiveSubscription,173
AE,2022-02-03,NewSubscription,1
AE,2022-02-04,ActiveSubscription,172
AE,2022-02-05,ActiveSubscription,171
AE,2022-02-05,NewSubscription,1
AE,2022-02-06,ActiveSubscription,171
AE,2022-02-06,NewSubscription,1
AE,2022-02-07,ActiveSubscription,172
AE,2022-02-07,NewSubscription,1
AE,2022-02-08,ActiveSubscription,173
AE,2022-02-08,NewSubscription,3
AE,2022-02-09,ActiveSubscription,174
AE,2022-02-10,ActiveSubscription,169
AE,2022-02-11,ActiveSubscription,170
AE,2022-02-12,ActiveSubscription,170
AE,2022-02-12,NewSubscription,2
AE,2022-02-13,ActiveSubscription,170
AE,2022-02-14,ActiveSubscription,167
AE,2022-02-14,NewSubscription,1
